Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.120;0.120;0.120;11.150.2.3
3;0.463;0.463;0.463;45.245.209.153
4;*;*;*;*
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;47.921;47.921;47.921;81.10.87.242
9;42.572;42.572;42.572;93.186.129.182
10;132.339;132.339;132.339;195.22.195.35
11;135.154;135.154;135.154;195.22.206.61
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;128.807;128.807;128.807;54.239.28.85
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
