Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.128;0.128;0.128;11.150.2.3
3;5.172;5.172;5.172;45.245.209.153
4;*;*;*;*
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;42.281;42.281;42.281;81.10.87.242
9;42.720;42.720;42.720;93.186.129.182
10;44.518;44.518;44.518;195.22.197.231
11;76.406;76.406;76.406;195.22.198.57
12;45.631;45.631;45.631;157.240.102.180
13;*;*;*;129.134.95.229
14;*;*;*;129.134.119.228
15;*;*;*;31.13.69.35
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
