Pinterest;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.108;0.108;0.108;11.150.2.3
3;0.505;0.505;0.505;45.245.209.153
4;*;*;*;*
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;76.109;76.109;76.109;81.10.87.242
9;51.717;51.717;51.717;93.186.129.182
10;42.269;42.269;42.269;195.22.212.229
11;41.850;41.850;41.850;195.22.212.229
12;41.740;41.740;41.740;195.22.205.127
13;*;*;*;151.101.64.84
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
