Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.109;0.109;0.109;11.150.2.3
3;0.524;0.524;0.524;45.245.209.153
4;*;*;*;*
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;43.354;43.354;43.354;81.10.87.242
9;159.328;159.328;159.328;93.186.129.182
10;152.926;152.926;152.926;89.221.41.175
11;217.331;217.331;217.331;89.221.41.113
12;*;*;*;*
13;216.146;216.146;216.146;190.27.216.18
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
