Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.110;0.110;0.110;11.150.2.3
3;0.530;0.530;0.530;45.245.209.153
4;*;*;*;*
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;41.806;41.806;41.806;81.10.87.242
9;43.097;43.097;43.097;93.186.129.182
10;43.553;43.553;43.553;195.22.197.231
11;45.258;45.258;45.258;195.22.198.57
12;44.063;44.063;44.063;157.240.102.176
13;42.612;42.612;42.612;129.134.95.229
14;45.719;45.719;45.719;129.134.89.131
15;40.693;40.693;40.693;31.13.69.60
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
