YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.095;0.095;0.095;11.150.2.3
3;0.447;0.447;0.447;45.245.209.153
4;*;*;*;*
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;48.057;48.057;48.057;81.10.87.242
9;50.421;50.421;50.421;93.186.129.182
10;41.477;41.477;41.477;93.186.129.45
11;43.253;43.253;43.253;142.250.168.148
12;43.892;43.892;43.892;72.14.239.144
13;42.167;42.167;42.167;142.251.235.175
14;41.810;41.810;41.810;142.251.209.14
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
