Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;*;*;*;*
5;0.662;0.662;0.662;100.65.0.33
6;2.102;2.102;2.102;150.222.93.215
7;1.233;1.233;1.233;150.222.94.202
8;1.259;1.259;1.259;150.222.94.193
9;230.028;230.028;230.028;100.91.176.161
10;223.176;223.176;223.176;240.0.184.14
11;224.425;224.425;224.425;240.0.156.42
12;224.705;224.705;224.705;240.0.156.56
13;219.229;219.229;219.229;240.0.156.24
14;219.144;219.144;219.144;241.0.11.153
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;236.450;236.450;236.450;100.65.34.185
19;219.349;219.349;219.349;52.94.236.248
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
