Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;29.744;29.744;29.744;240.5.72.13
2;37.209;37.209;37.209;242.14.229.129
3;35.418;35.418;35.418;157.240.84.55
4;27.818;27.818;27.818;157.240.84.54
5;35.356;35.356;35.356;129.134.33.162
6;28.898;28.898;28.898;129.134.80.150
7;28.989;28.989;28.989;129.134.84.48
8;35.105;35.105;35.105;102.132.104.35
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
