ChatGPT;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1.069;1.069;1.069;244.5.0.101
2;*;*;*;*
3;*;*;*;*
4;*;*;*;*
5;0.238;0.238;0.238;100.65.1.33
6;1.824;1.824;1.824;150.222.93.191
7;1.383;1.383;1.383;240.5.68.12
8;13.323;13.323;13.323;242.14.220.5
9;1.883;1.883;1.883;150.222.92.249
10;1.734;1.734;1.734;196.223.22.109
11;1.885;1.885;1.885;172.64.155.209
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
