Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;4.076;4.076;4.076;244.5.0.101
2;*;*;*;*
3;*;*;*;*
4;*;*;*;*
5;0.268;0.268;0.268;100.65.0.161
6;5.900;5.900;5.900;150.222.93.215
7;13.122;13.122;13.122;150.222.95.39
8;123.523;123.523;123.523;100.92.135.21
9;123.807;123.807;123.807;240.1.180.15
10;123.367;123.367;123.367;242.4.101.3
11;123.193;123.193;123.193;190.98.141.193
12;122.923;122.923;122.923;190.98.141.192
13;123.264;123.264;123.264;84.16.15.121
14;208.633;208.633;208.633;213.140.49.80
15;*;*;*;213.140.35.115
16;*;*;*;176.52.255.184
17;*;*;*;84.16.15.35
18;*;*;*;81.173.106.117
19;*;*;*;*
20;294.823;294.823;294.823;190.27.216.18
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
