YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;26.514;26.514;26.514;240.5.72.12
2;16.981;16.981;16.981;242.14.229.131 (242.14.229.131)
3;*;*;*;*
4;20.154;20.154;20.154;99.83.116.121
5;20.163;20.163;20.163;192.178.99.147
6;18.780;18.780;18.780;192.178.73.123
7;19.939;19.939;19.939;142.251.47.110
8;*;*;*;*
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
