Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.113;0.113;0.113;41.76.110.1
2;0.401;0.401;0.401;169.239.216.244
3;1.020;1.020;1.020;206.249.0.6
4;158.174;158.174;158.174;154.54.5.34
5;224.533;224.533;224.533;154.54.30.185
6;224.268;224.268;224.268;66.28.4.182
7;*;*;*;*
8;*;*;*;*
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;221.929;221.929;221.929;54.239.28.85
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
