Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;0.588;0.588;0.588;169.239.216.244
3;0.654;0.654;0.654;197.148.64.181
4;1.665;1.665;1.665;196.60.10.3
5;0.630;0.630;0.630;129.134.39.126
6;0.421;0.421;0.421;129.134.80.149
7;0.529;0.529;0.529;129.134.90.108
8;0.450;0.450;0.450;102.132.104.35
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
