Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;41.76.110.1
2;0.467;0.467;0.467;169.239.216.244
3;0.560;0.560;0.560;197.148.64.181
4;1.041;1.041;1.041;196.60.10.3
5;0.432;0.432;0.432;129.134.39.126
6;0.359;0.359;0.359;129.134.80.151
7;3.256;3.256;3.256;129.134.84.46
8;0.253;0.253;0.253;102.132.104.174
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
