Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;41.76.110.1
2;*;*;*;*
3;1.057;1.057;1.057;206.249.0.6
4;158.520;158.520;158.520;154.54.5.34
5;224.892;224.892;224.892;154.54.30.185
6;228.321;228.321;228.321;154.54.170.69
7;245.582;245.582;245.582;154.54.169.178
8;*;*;*;*
9;321.349;321.349;321.349;154.54.168.230
10;323.165;323.165;323.165;199.100.8.146
11;*;*;*;*
12;334.150;334.150;334.150;190.27.216.18
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
