Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.515;0.515;0.515;41.76.110.1
2;*;*;*;169.239.216.244
3;9.550;9.550;9.550;197.148.64.181
4;*;*;*;*
5;0.795;0.795;0.795;129.134.34.216
6;0.642;0.642;0.642;129.134.80.150
7;0.488;0.488;0.488;129.134.90.187
8;0.303;0.303;0.303;102.132.104.60
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
