Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.366;0.366;0.366;41.76.110.1
2;*;*;*;*
3;1.229;1.229;1.229;206.249.0.6
4;158.355;158.355;158.355;154.54.5.34
5;225.138;225.138;225.138;154.54.30.185
6;224.712;224.712;224.712;66.28.4.182
7;*;*;*;*
8;*;*;*;*
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;221.890;221.890;221.890;205.251.242.103
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
