Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.387;0.387;0.387;185.174.62.19
2;0.853;0.853;0.853;102.134.19.52
3;94.577;94.577;94.577;154.66.247.130
4;93.874;93.874;93.874;154.66.247.146
5;93.536;93.536;93.536;154.66.247.71
6;93.589;93.589;93.589;157.240.75.78
7;93.253;93.253;93.253;129.134.45.56
8;93.212;93.212;93.212;129.134.57.128
9;97.559;97.559;97.559;129.134.61.130
10;93.947;93.947;93.947;157.240.221.35
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
