Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.325;0.325;0.325;185.174.62.19
2;0.870;0.870;0.870;102.134.19.52
3;93.593;93.593;93.593;154.66.247.130
4;93.699;93.699;93.699;154.66.247.146
5;93.566;93.566;93.566;154.66.247.71
6;93.476;93.476;93.476;157.240.75.78
7;94.041;94.041;94.041;129.134.48.30
8;93.990;93.990;93.990;129.134.57.127
9;97.276;97.276;97.276;129.134.58.33
10;93.929;93.929;93.929;157.240.221.174
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
