Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.133;0.133;0.133;41.76.110.1
2;1.828;1.828;1.828;169.239.216.244
3;1.058;1.058;1.058;206.249.0.6
4;158.715;158.715;158.715;154.54.5.34
5;224.668;224.668;224.668;154.54.30.185
6;228.332;228.332;228.332;154.54.170.69
7;245.653;245.653;245.653;154.54.169.178
8;257.850;257.850;257.850;*
9;321.027;321.027;321.027;154.54.168.230
10;323.308;323.308;323.308;199.100.8.146
11;*;*;*;*
12;334.176;334.176;334.176;190.27.216.18
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
