Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.117;0.117;0.117;41.76.110.1
2;0.460;0.460;0.460;169.239.216.244
3;4.554;4.554;4.554;197.148.64.181
4;1.234;1.234;1.234;196.60.10.3
5;0.610;0.610;0.610;129.134.39.126
6;0.493;0.493;0.493;129.134.80.152
7;2.305;2.305;2.305;129.134.81.1
8;0.239;0.239;0.239;102.132.104.60
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
