YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;0.230;0.230;0.230;185.174.62.19
2;2.756;2.756;2.756;102.134.19.52
3;2.749;2.749;2.749;72.14.222.48
4;1.768;1.768;1.768;192.178.106.221
5;2.080;2.080;2.080;172.253.76.217
6;1.372;1.372;1.372;216.58.223.238
7;*;*;*;*
8;*;*;*;*
9;*;*;*;*
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
