Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;144.160;144.160;144.160;41.78.188.17
5;*;*;*;*
6;155.343;155.343;155.343;41.78.188.148
7;145.382;145.382;145.382;62.157.249.206
8;231.595;231.595;231.595;62.154.5.245
9;231.848;231.848;231.848;62.159.61.87
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;230.972;230.972;230.972;205.251.242.103
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
