Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;162.910;162.910;162.910;41.78.188.57
5;*;*;*;*
6;*;*;*;*
7;*;*;*;*
8;155.934;155.934;155.934;41.78.188.153
9;163.205;163.205;163.205;80.249.210.100
10;163.177;163.177;163.177;52.93.113.185
11;163.060;163.060;163.060;52.93.0.137
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
