Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;144.605;144.605;144.605;41.78.188.57
5;*;*;*;*
6;*;*;*;*
7;154.151;154.151;154.151;41.78.188.61
8;154.701;154.701;154.701;149.11.240.201
9;154.923;154.923;154.923;154.54.38.201
10;166.156;166.156;166.156;154.54.39.225
11;227.192;227.192;227.192;154.54.47.137
12;*;*;*;154.54.169.178
13;*;*;*;*
14;312.106;312.106;312.106;154.54.168.230
15;313.503;313.503;313.503;199.100.8.146
16;*;*;*;*
17;307.788;307.788;307.788;190.27.216.18
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
