Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;52.353;52.353;52.353;41.78.188.213
5;*;*;*;*
6;52.292;52.292;52.292;41.78.188.132
7;52.734;52.734;52.734;196.60.10.3
8;52.279;52.279;52.279;129.134.39.126
9;52.288;52.288;52.288;129.134.80.152
10;54.412;54.412;54.412;129.134.84.50
11;52.437;52.437;52.437;102.132.104.60
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
