YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;*
2;*;*;*;*
3;*;*;*;*
4;6.603;6.603;6.603;41.78.188.57
5;6.293;6.293;6.293;41.78.188.164
6;6.639;6.639;6.639;74.125.51.30
7;6.917;6.917;6.917;192.178.251.101
8;6.586;6.586;6.586;72.14.238.159
9;6.351;6.351;6.351;172.217.170.174
10;*;*;*;*
11;*;*;*;*
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
