Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;2;1;26.10.178.98
2;3;2;2;11.73.57.214
3;36;35;34;11.73.38.49
4;34;34;33;11.73.51.201
5;33;32;31;10.222.215.1
6;*;*;*;0.0.0.0
7;30;30;30;10.102.34.189
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;167;166;166;219.158.17.82
14;162;162;162;219.158.43.6
15;162;163;163;52.93.92.40
16;228;228;227;52.93.92.41
17;*;*;*;0.0.0.0
18;223;223;222;52.93.92.29
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
