Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;199;102;101;26.10.167.118
2;118;118;117;11.73.56.166
3;112;107;93;11.73.41.201
4;102;104;109;11.73.48.201
5;127;129;129;11.95.60.146
6;108;117;132;11.94.197.129
7;240;240;239;116.251.112.181
8;*;*;*;0.0.0.0
9;242;242;241;202.106.228.185
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
