Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;8;9;9;26.10.167.118
2;12;11;11;11.73.56.126
3;53;52;51;11.73.38.145
4;182;181;181;11.73.45.225
5;393;393;392;10.222.214.241
6;472;472;471;10.216.193.182
7;441;440;439;10.102.154.238
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;583;583;584;219.158.16.94
14;484;484;483;219.158.43.6
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
