Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;3;2;2;26.10.178.98
2;3;2;3;11.73.57.110
3;3;3;2;11.73.37.81
4;3;2;2;11.73.43.105
5;3;3;2;11.95.60.58
6;4;3;3;10.54.171.221
7;5;5;4;101.200.109.146
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;6;10;9;202.97.94.190
11;7;7;7;202.97.12.126
12;2870;324;323;202.97.59.106
13;*;*;*;0.0.0.0
14;172;172;172;154.54.43.13
15;191;192;191;154.54.44.142
16;200;200;199;154.54.45.165
17;213;213;213;154.54.162.106
18;2861;218;218;154.54.41.54
19;242;242;241;154.54.5.162
20;304;2859;304;154.54.88.238
21;288;288;287;199.100.8.146
22;*;*;*;0.0.0.0
23;2856;280;280;190.27.216.18
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
