YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;45;44;43;26.10.178.98
2;43;43;42;11.73.56.182
3;43;42;41;11.73.42.1
4;42;35;23;11.73.51.201
5;50;50;49;11.95.51.110
6;*;*;*;0.0.0.0
7;48;47;46;10.102.155.134
8;*;*;*;0.0.0.0
9;45;45;44;123.126.6.125
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
