Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;43.249.37.188
2;1;1;1;43.249.36.8
3;1;1;1;64.120.119.228
4;*;*;*;0.0.0.0
5;2;1;2;154.54.90.85
6;2;3;2;154.54.88.49
7;151;151;151;154.54.0.5
8;161;161;161;154.54.44.85
9;170;170;170;154.54.166.57
10;181;181;181;154.54.165.25
11;181;181;181;154.54.28.74
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;211;211;211;52.94.236.248
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
