Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;43.249.37.189
2;3;3;3;43.249.36.12
3;2;3;3;64.120.119.232
4;*;*;*;0.0.0.0
5;2;2;2;154.54.90.85
6;4;4;4;154.54.88.49
7;137;137;137;154.54.87.121
8;*;*;*;0.0.0.0
9;159;159;159;108.166.228.12
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
