Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;43.249.37.188
2;1;1;1;43.249.36.8
3;1;1;1;64.120.119.228
4;*;*;*;0.0.0.0
5;37;39;39;154.54.90.85
6;3;3;3;154.54.88.49
7;137;137;137;154.54.94.114
8;144;144;144;154.54.42.101
9;154;154;154;154.54.44.85
10;164;164;164;154.54.166.57
11;174;174;174;154.54.165.25
12;181;181;181;154.54.40.250
13;*;*;*;0.0.0.0
14;267;267;266;154.54.168.230
15;275;275;275;199.100.8.146
16;*;*;*;0.0.0.0
17;270;270;270;190.27.216.18
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
