Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;103.28.15.177
2;2;2;2;43.252.139.10
3;2;3;3;43.252.139.18
4;3;2;3;119.110.122.5
5;13;12;13;119.110.114.58
6;12;14;17;62.115.186.218
7;18;17;17;62.115.136.198
8;187;188;188;62.115.141.130
9;220;221;220;62.115.140.247
10;221;222;223;62.115.138.65
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;251;251;251;52.94.236.248
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
