Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;103.28.15.177
2;1;1;1;43.252.139.10
3;2;2;2;43.252.139.18
4;5;4;3;119.110.122.5
5;12;12;13;119.110.114.58
6;14;14;14;87.245.231.244
7;153;153;153;87.245.232.112
8;154;153;168;151.148.9.170
9;*;*;*;0.0.0.0
10;166;166;166;52.93.21.93
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
