Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;15;18;20;103.28.15.177
2;22;23;21;43.252.139.10
3;22;35;34;43.252.139.18
4;39;38;37;119.110.122.5
5;40;51;54;119.110.114.65
6;56;58;63;154.18.19.89
7;64;64;63;154.54.89.205
8;189;189;190;154.54.27.54
9;190;190;190;154.54.42.101
10;207;207;206;154.54.44.85
11;209;209;208;154.54.166.57
12;224;225;224;154.54.165.25
13;224;223;224;154.54.40.250
14;*;*;*;0.0.0.0
15;318;319;319;154.54.168.230
16;304;311;310;199.100.8.146
17;*;*;*;0.0.0.0
18;303;304;304;190.27.216.18
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
