YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;1;1;103.28.15.177
2;1;1;1;43.252.139.10
3;2;1;1;43.252.139.18
4;2;2;2;119.110.122.5
5;13;12;12;119.110.114.58
6;13;13;13;72.14.195.46
7;19;18;18;142.250.56.51
8;14;14;20;192.178.109.208
9;16;16;15;142.251.229.225
10;16;16;17;142.251.229.238
11;16;16;16;209.85.246.55
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;13;14;14;172.217.194.136
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
