Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;13;11;10;164.52.192.1
2;2;2;2;180.179.210.65
3;2;2;1;180.179.197.217
4;3;3;2;219.65.44.177
5;*;*;*;0.0.0.0
6;23;23;24;180.87.38.5
7;235;236;235;180.87.38.29
8;235;234;234;80.231.217.52
9;*;*;*;0.0.0.0
10;230;2776;231;80.231.154.32
11;*;*;*;0.0.0.0
12;230;230;230;216.6.87.227
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;249;249;249;205.251.242.103
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
