Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;22;21;19;164.52.192.1
2;2;2;2;180.179.210.65
3;2;3;8;180.179.197.217
4;7;6;5;219.65.44.177
5;*;*;*;0.0.0.0
6;22;22;21;180.87.38.5
7;24;2799;23;180.87.38.29
8;55;54;54;103.4.97.2
9;26;27;26;129.134.108.201
10;23;23;22;129.134.86.55
11;22;22;22;157.240.242.35
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
