Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;16;14;13;164.52.192.1
2;2;2;2;180.179.210.65
3;2;2;1;180.179.197.205
4;3;3;3;14.141.116.105
5;*;*;*;0.0.0.0
6;29;28;27;180.87.38.5
7;*;*;*;0.0.0.0
8;28;28;28;103.4.97.2
9;26;26;25;129.134.108.209
10;25;25;26;129.134.86.55
11;26;25;25;157.240.242.174
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
