Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;16;14;13;164.52.192.1
2;1;2;3;180.179.210.65
3;2;2;4;180.179.197.213
4;5;5;4;115.114.12.185
5;*;*;*;0.0.0.0
6;21;21;22;180.87.38.5
7;143;142;142;180.87.38.2
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;143;143;143;154.54.58.185
12;257;257;257;154.54.42.85
13;264;263;263;154.54.30.121
14;267;266;266;154.54.172.170
15;*;*;*;0.0.0.0
16;331;331;330;154.54.88.238
17;335;334;341;199.100.8.146
18;*;*;*;0.0.0.0
19;368;368;366;190.27.216.18
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
