Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;10.90.10.1
3;2;2;2;210.176.150.45
4;1;1;2;202.84.149.97
5;*;*;*;0.0.0.0
6;32;32;32;202.84.148.70
7;34;34;34;180.87.180.5
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;173;173;173;209.58.86.144
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;196;196;196;52.94.236.248
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
