Instagram;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;10.90.10.1
3;1;1;1;210.176.150.45
4;1;3;2;202.84.149.101
5;32;31;31;202.84.140.161
6;31;32;31;202.47.216.102
7;31;30;31;134.159.150.30
8;31;31;31;147.75.221.36
9;31;31;31;173.252.66.63
10;34;34;34;129.134.80.237
11;31;31;31;157.240.31.174
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
