Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;10.90.10.1
3;1;1;1;210.176.150.45
4;3;2;2;202.84.149.97
5;32;31;31;202.84.144.54
6;140;139;139;202.84.141.1
7;133;134;134;202.84.247.17
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;157;157;157;108.166.236.45
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
