Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;10.90.10.1
3;1;2;2;210.176.150.45
4;2;2;1;202.84.149.101
5;37;37;36;202.84.141.253
6;209;208;208;202.84.141.122
7;207;207;207;202.84.178.69
8;208;208;207;134.159.95.18
9;208;207;208;213.140.36.24
10;238;238;237;213.140.35.238
11;253;253;253;213.140.35.125
12;308;307;307;94.142.118.228
13;305;305;305;84.16.15.30
14;326;326;326;81.173.106.117
15;*;*;*;0.0.0.0
16;315;315;315;190.27.216.18
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
