Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;*;*;*;0.0.0.0
2;1;1;1;10.90.10.1
3;1;1;1;210.176.150.45
4;2;2;2;202.84.149.97
5;*;*;*;0.0.0.0
6;32;32;31;202.47.216.82
7;63;63;62;134.159.150.30
8;31;31;31;147.75.221.40
9;31;31;31;173.252.66.41
10;33;33;34;129.134.80.241
11;31;31;31;157.240.31.60
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
