Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;139.99.124.252
2;1;1;1;10.133.2.80
3;1;1;1;10.75.0.8
4;1;1;1;10.75.248.14
5;2;2;4;103.5.15.4
6;1;1;1;10.200.0.219
7;*;*;*;0.0.0.0
8;2689;1;1;129.250.2.134
9;*;*;*;0.0.0.0
10;184;184;184;129.250.2.176
11;211;211;211;129.250.7.68
12;207;207;207;129.250.3.115
13;216;216;216;128.241.14.222
14;212;212;212;15.230.130.155
15;*;*;*;0.0.0.0
16;232;232;232;52.93.34.135
17;210;210;210;15.230.48.54
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
