Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;139.99.124.252
2;1;1;1;10.133.2.82
3;1;1;1;10.75.0.14
4;1;1;1;10.75.248.16
5;2;2;4;103.5.15.16
6;1;1;1;10.200.0.198
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;195;195;195;120.29.217.117
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;209;209;209;209.58.86.144
13;205;205;205;63.243.251.1
14;204;204;204;64.86.123.26
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
