Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;139.99.124.252
2;1;1;1;10.133.2.80
3;1;1;1;10.75.0.48
4;1;1;1;10.75.248.16
5;4;3;3;103.5.15.16
6;1;1;1;10.200.0.221
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;181;181;181;129.250.2.176
11;186;187;187;129.250.3.91
12;*;*;*;0.0.0.0
13;170;170;170;154.54.25.149
14;183;183;183;154.54.45.161
15;205;204;205;154.54.166.69
16;203;202;202;154.54.165.29
17;211;211;211;154.54.41.54
18;*;*;*;0.0.0.0
19;295;295;295;154.54.88.238
20;339;339;339;199.100.8.146
21;*;*;*;0.0.0.0
22;294;293;293;190.27.216.18
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
