YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;2;2;2;139.99.124.252
2;1;1;1;10.133.2.80
3;1;1;1;10.75.0.10
4;1;1;1;10.75.248.16
5;*;*;*;0.0.0.0
6;3;3;3;10.200.0.198
7;*;*;*;0.0.0.0
8;1;1;1;142.250.56.43
9;2;2;2;192.178.109.86
10;1;1;1;216.239.35.154
11;1;1;1;209.85.242.12
12;1;1;1;172.253.68.179
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;1;1;1;142.250.4.91
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
