Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;5.188.95.2
2;1;1;1;10.255.29.242
3;1;1;1;185.185.135.20
4;1;1;1;31.154.208.205
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;53;53;53;82.102.129.235
8;66;66;66;195.72.90.193
9;133;133;133;89.149.186.217
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;134;134;134;205.251.242.103
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
