Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;31.204.145.130
2;1;1;1;120.88.53.73
3;*;*;*;0.0.0.0
4;103;103;103;129.250.3.193
5;104;104;104;129.250.3.30
6;135;135;135;129.250.7.68
7;131;131;131;129.250.3.115
8;137;137;136;128.241.14.222
9;139;139;139;15.230.130.169
10;*;*;*;0.0.0.0
11;132;131;131;52.93.34.139
12;136;136;136;176.32.125.203
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;166;166;166;52.94.236.248
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
