Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;31.204.145.131
2;*;*;*;0.0.0.0
3;1;1;1;154.54.89.109
4;103;104;104;154.54.1.21
5;103;103;103;154.54.42.101
6;113;113;113;154.54.44.85
7;126;125;126;154.54.166.57
8;137;137;137;154.54.165.25
9;140;140;140;154.54.40.250
10;*;*;*;0.0.0.0
11;230;231;231;154.54.27.154
12;236;236;236;154.54.83.33
13;234;234;233;199.100.8.146
14;*;*;*;0.0.0.0
15;227;226;225;190.27.216.18
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
