Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;5.79.88.28
2;1;1;1;81.17.33.126
3;1;1;1;31.31.39.12
4;7;7;7;31.31.34.27
5;8;8;8;176.52.253.254
6;15;14;14;176.52.248.125
7;93;93;93;94.142.127.65
8;126;126;126;213.140.35.87
9;179;179;179;94.142.118.228
10;*;*;*;0.0.0.0
11;178;178;178;81.173.106.117
12;*;*;*;0.0.0.0
13;182;182;182;190.27.216.18
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
