YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;5.79.88.29
2;1;1;1;81.17.33.134
3;1;1;1;31.31.39.14
4;1;1;1;31.31.34.127
5;*;*;*;0.0.0.0
6;1;1;1;72.14.195.42
7;1;1;1;74.125.243.131
8;1;1;1;72.14.236.226
9;1;1;1;142.251.238.27
10;7;8;8;192.178.75.31
11;19;19;19;209.85.252.28
12;7;7;7;216.239.42.175
13;8;8;8;66.249.94.245
14;7;7;7;172.217.16.142
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
