Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;80.239.136.129
2;19;18;18;62.115.136.76
3;27;27;27;62.115.122.138
4;113;113;112;62.115.140.107
5;*;*;*;0.0.0.0
6;*;*;*;0.0.0.0
7;*;*;*;0.0.0.0
8;*;*;*;0.0.0.0
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;114;114;113;52.94.236.248
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
