Facebook;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;80.239.136.129
2;18;18;18;62.115.136.76
3;27;27;27;62.115.122.138
4;31;31;31;62.115.118.63
5;27;27;27;62.115.118.58
6;31;30;30;62.115.116.239
7;30;30;30;213.248.100.217
8;30;30;30;129.134.50.163
9;30;30;30;163.77.254.73
10;32;31;31;129.134.62.4
11;30;30;30;179.60.195.36
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
