Udistrital;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;80.239.136.129
2;18;18;18;62.115.136.76
3;28;28;28;62.115.122.138
4;114;114;113;62.115.140.107
5;141;141;141;62.115.120.177
6;141;141;140;62.115.142.43
7;198;198;198;62.115.181.33
8;*;*;*;0.0.0.0
9;197;196;196;190.27.216.18
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
