Whatsapp;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;80.239.136.129
2;18;18;18;62.115.136.76
3;27;27;27;62.115.122.138
4;31;30;30;62.115.118.63
5;*;*;*;0.0.0.0
6;31;30;31;62.115.116.239
7;30;30;30;62.115.13.159
8;30;30;30;129.134.97.173
9;30;30;30;163.77.254.73
10;31;31;32;129.134.117.144
11;30;30;30;179.60.195.51
12;*;*;*;*
13;*;*;*;*
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
