YouTube;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;80.239.136.129
2;18;18;18;62.115.136.76
3;*;*;*;0.0.0.0
4;18;18;18;62.115.151.27
5;20;20;19;108.170.236.193
6;18;18;18;192.178.109.126
7;18;18;18;209.85.245.30
8;20;34;34;192.178.75.100
9;33;33;33;108.170.235.148
10;32;32;43;142.250.61.184
11;32;32;32;142.251.250.251
12;32;32;32;142.251.48.45
13;32;32;32;142.250.74.142
14;*;*;*;*
15;*;*;*;*
16;*;*;*;*
17;*;*;*;*
18;*;*;*;*
19;*;*;*;*
20;*;*;*;*
21;*;*;*;*
22;*;*;*;*
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
