Amazon;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;91.207.57.97
2;*;*;*;0.0.0.0
3;1;1;1;193.9.115.185
4;1;1;1;149.11.170.217
5;4;4;4;154.54.60.133
6;15;15;15;154.54.58.69
7;84;84;84;154.54.44.166
8;84;84;84;154.54.45.118
9;83;84;84;38.104.155.194
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;94;94;95;205.251.242.103
23;*;*;*;*
24;*;*;*;*
25;*;*;*;*
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
