Netflix;;;;
#;Tiempo de respuesta;;;Direccion ip
1;1;1;1;91.207.57.97
2;*;*;*;0.0.0.0
3;1;1;1;193.9.115.185
4;4;4;4;146.70.1.222
5;4;4;4;146.70.1.123
6;4;4;4;99.83.65.86
7;5;5;5;54.239.114.178
8;5;5;4;54.239.114.33
9;*;*;*;0.0.0.0
10;*;*;*;0.0.0.0
11;*;*;*;0.0.0.0
12;*;*;*;0.0.0.0
13;*;*;*;0.0.0.0
14;*;*;*;0.0.0.0
15;*;*;*;0.0.0.0
16;*;*;*;0.0.0.0
17;*;*;*;0.0.0.0
18;*;*;*;0.0.0.0
19;*;*;*;0.0.0.0
20;*;*;*;0.0.0.0
21;*;*;*;0.0.0.0
22;*;*;*;0.0.0.0
23;*;*;*;0.0.0.0
24;*;*;*;0.0.0.0
25;*;*;*;0.0.0.0
26;*;*;*;*
27;*;*;*;*
28;*;*;*;*
29;*;*;*;*
30;*;*;*;*
